FIPS,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Renter-Occupied Housing Units,Renter-Occupied Housing Units: More than 10.0 Percent,Renter-Occupied Housing Units: More than 20.0 Percent,Renter-Occupied Housing Units: More than 30.0 Percent,Renter-Occupied Housing Units: More than 40.0 Percent,Renter-Occupied Housing Units: More than 50.0 Percent,Renter-Occupied Housing Units: Not Computed,% Renter-Occupied Housing Units: More than 10.0 Percent,% Renter-Occupied Housing Units: More than 20.0 Percent,% Renter-Occupied Housing Units: More than 30.0 Percent,% Renter-Occupied Housing Units: More than 40.0 Percent,% Renter-Occupied Housing Units: More than 50.0 Percent,% Renter-Occupied Housing Units: Not Computed,Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,% Renter-Occupied Housing Units: 30 to 49 Percent,% Renter-Occupied Housing Units: 50 percent or More,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,% Population for Whom Poverty Status Is Determined: Under .50,% Population for Whom Poverty Status Is Determined: .50 to .74,% Population for Whom Poverty Status Is Determined: .75 to .99,% Population for Whom Poverty Status Is Determined: 1.00 to 1.49,% Population for Whom Poverty Status Is Determined: 1.50 to 1.99,% Population for Whom Poverty Status Is Determined: 2.00 and Over,White Alone Population for Whom Poverty Status Is  Determined:,White Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,White Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,% White Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,% White Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Black or African American Alone Population for  Whom Poverty Status Is Determined:,Black or African American Alone Population for  Whom Poverty Status Is Determined: Income Below Poverty Level,Black or African American Alone Population for  Whom Poverty Status Is Determined: Income At or Above Poverty Level,% Black or African American Alone Population for  Whom Poverty Status Is Determined: Income Below Poverty Level,% Black or African American Alone Population for  Whom Poverty Status Is Determined: Income At or Above Poverty Level,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined:,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,% American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,% American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Asian Alone Population for Whom Poverty Status Is  Determined:,Asian Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,Asian Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,% Asian Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,% Asian Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined:,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,% Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,% Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Some Other Race Alone Population for Whom Poverty  Status Is Determined:,Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,% Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,% Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,Two or More Races Population for Whom Poverty  Status Is Determined:,Two or More Races Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Two or More Races Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,% Two or More Races Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,% Two or More Races Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,Hispanic or Latino Population for Whom Poverty  Status Is Determined:,Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,% Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,% Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level
06037216401,06,037,216401,1400000US06037216401,Census Tract 2164.01,,1705,1628,1260,900,568,468,24,95.48,73.9,52.79,33.31,27.45,1.41,1705,432,468,25.34,27.45,3590,191,112,37,344,242,2664,5.32,3.12,1.03,9.58,6.74,74.21,2483,267,2216,10.75,89.25,127,0,127,0,100,0,0,0,,,404,53,351,13.12,86.88,29,0,29,0,100,92,20,72,21.74,78.26,455,0,455,0,100,385,54,331,14.03,85.97
06037216402,06,037,216402,1400000US06037216402,Census Tract 2164.02,,1039,1012,804,591,315,245,18,97.4,77.38,56.88,30.32,23.58,1.73,1039,346,245,33.3,23.58,2663,144,40,51,351,79,1998,5.41,1.5,1.92,13.18,2.97,75.03,1920,86,1834,4.48,95.52,22,3,19,13.64,86.36,29,29,0,100,0,135,18,117,13.33,86.67,0,0,0,,,188,64,124,34.04,65.96,369,35,334,9.49,90.51,446,10,436,2.24,97.76
06037216700,06,037,216700,1400000US06037216700,Census Tract 2167,,988,969,757,456,335,202,19,98.08,76.62,46.15,33.91,20.45,1.92,988,254,202,25.71,20.45,3310,41,160,93,171,127,2718,1.24,4.83,2.81,5.17,3.84,82.11,1324,30,1294,2.27,97.73,1015,19,996,1.87,98.13,23,0,23,0,100,279,16,263,5.73,94.27,0,0,0,,,348,166,182,47.7,52.3,321,63,258,19.63,80.37,561,234,327,41.71,58.29
06037216800,06,037,216800,1400000US06037216800,Census Tract 2168,,948,907,663,462,269,232,9,95.68,69.94,48.73,28.38,24.47,0.95,948,230,232,24.26,24.47,3333,107,0,72,194,189,2771,3.21,0,2.16,5.82,5.67,83.14,2056,119,1937,5.79,94.21,177,3,174,1.69,98.31,9,0,9,0,100,189,11,178,5.82,94.18,0,0,0,,,292,11,281,3.77,96.23,610,35,575,5.74,94.26,831,36,795,4.33,95.67
06037216901,06,037,216901,1400000US06037216901,Census Tract 2169.01,,496,433,256,218,119,68,63,87.3,51.61,43.95,23.99,13.71,12.7,496,150,68,30.24,13.71,2723,124,40,101,232,74,2152,4.55,1.47,3.71,8.52,2.72,79.03,1146,90,1056,7.85,92.15,931,145,786,15.57,84.43,15,0,15,0,100,112,27,85,24.11,75.89,22,0,22,0,100,1,1,0,100,0,496,2,494,0.4,99.6,369,26,343,7.05,92.95
06037216902,06,037,216902,1400000US06037216902,Census Tract 2169.02,,944,787,697,423,342,333,87,83.37,73.83,44.81,36.23,35.28,9.22,944,90,333,9.53,35.28,2106,126,31,380,76,209,1284,5.98,1.47,18.04,3.61,9.92,60.97,892,78,814,8.74,91.26,260,48,212,18.46,81.54,0,0,0,,,99,0,99,0,100,0,0,0,,,279,24,255,8.6,91.4,576,387,189,67.19,32.81,378,24,354,6.35,93.65
06037217001,06,037,217001,1400000US06037217001,Census Tract 2170.01,,665,638,511,320,157,104,0,95.94,76.84,48.12,23.61,15.64,0,665,216,104,32.48,15.64,2756,49,36,56,59,103,2453,1.78,1.31,2.03,2.14,3.74,89.01,2234,114,2120,5.1,94.9,24,0,24,0,100,0,0,0,,,54,0,54,0,100,0,0,0,,,193,4,189,2.07,97.93,251,23,228,9.16,90.84,368,4,364,1.09,98.91
06037217002,06,037,217002,1400000US06037217002,Census Tract 2170.02,,1685,1667,1415,928,593,340,18,98.93,83.98,55.07,35.19,20.18,1.07,1685,588,340,34.9,20.18,4941,113,223,91,534,234,3746,2.29,4.51,1.84,10.81,4.74,75.81,3023,121,2902,4,96,477,100,377,20.96,79.04,13,0,13,0,100,537,39,498,7.26,92.74,0,0,0,,,329,24,305,7.29,92.71,562,143,419,25.44,74.56,580,24,556,4.14,95.86
06037217101,06,037,217101,1400000US06037217101,Census Tract 2171.01,,751,693,417,283,283,224,55,92.28,55.53,37.68,37.68,29.83,7.32,751,59,224,7.86,29.83,2674,246,153,76,86,248,1865,9.2,5.72,2.84,3.22,9.27,69.75,617,235,382,38.09,61.91,523,131,392,25.05,74.95,39,0,39,0,100,98,4,94,4.08,95.92,0,0,0,,,467,31,436,6.64,93.36,930,74,856,7.96,92.04,1662,265,1397,15.94,84.06
06037217102,06,037,217102,1400000US06037217102,Census Tract 2171.02,,935,915,672,459,327,267,20,97.86,71.87,49.09,34.97,28.56,2.14,935,192,267,20.53,28.56,2773,119,307,118,186,137,1906,4.29,11.07,4.26,6.71,4.94,68.73,1091,194,897,17.78,82.22,717,146,571,20.36,79.64,0,0,0,,,243,2,241,0.82,99.18,0,0,0,,,459,149,310,32.46,67.54,263,53,210,20.15,79.85,672,289,383,43.01,56.99
06037217200,06,037,217200,1400000US06037217200,Census Tract 2172,,1292,1178,976,671,481,341,57,91.18,75.54,51.93,37.23,26.39,4.41,1292,330,341,25.54,26.39,3976,150,184,353,419,401,2469,3.77,4.63,8.88,10.54,10.09,62.1,1095,77,1018,7.03,92.97,968,217,751,22.42,77.58,10,10,0,100,0,283,34,249,12.01,87.99,19,0,19,0,100,1053,222,831,21.08,78.92,548,127,421,23.18,76.82,1501,353,1148,23.52,76.48
06037218110,06,037,218110,1400000US06037218110,Census Tract 2181.10,,991,895,762,626,440,315,67,90.31,76.89,63.17,44.4,31.79,6.76,991,311,315,31.38,31.79,3167,319,214,141,532,316,1645,10.07,6.76,4.45,16.8,9.98,51.94,597,143,454,23.95,76.05,725,104,621,14.34,85.66,33,0,33,0,100,278,85,193,30.58,69.42,0,0,0,,,1306,257,1049,19.68,80.32,228,85,143,37.28,62.72,1721,415,1306,24.11,75.89
06037218120,06,037,218120,1400000US06037218120,Census Tract 2181.20,,1124,1023,751,472,383,278,55,91.01,66.81,41.99,34.07,24.73,4.89,1124,194,278,17.26,24.73,3553,526,313,163,342,595,1614,14.8,8.81,4.59,9.63,16.75,45.43,929,326,603,35.09,64.91,524,189,335,36.07,63.93,0,0,0,,,484,167,317,34.5,65.5,0,0,0,,,1216,320,896,26.32,73.68,400,0,400,0,100,2374,628,1746,26.45,73.55
06037218210,06,037,218210,1400000US06037218210,Census Tract 2182.10,,1057,1018,849,615,373,293,9,96.31,80.32,58.18,35.29,27.72,0.85,1057,322,293,30.46,27.72,3896,327,331,168,763,531,1776,8.39,8.5,4.31,19.58,13.63,45.59,755,162,593,21.46,78.54,354,68,286,19.21,80.79,113,0,113,0,100,163,30,133,18.4,81.6,0,0,0,,,1781,566,1215,31.78,68.22,730,0,730,0,100,2883,679,2204,23.55,76.45
06037218220,06,037,218220,1400000US06037218220,Census Tract 2182.20,,1007,931,748,563,470,360,15,92.45,74.28,55.91,46.67,35.75,1.49,1007,203,360,20.16,35.75,4042,230,176,30,559,827,2220,5.69,4.35,0.74,13.83,20.46,54.92,1142,88,1054,7.71,92.29,1068,167,901,15.64,84.36,42,0,42,0,100,394,94,300,23.86,76.14,0,0,0,,,1005,10,995,1,99,391,77,314,19.69,80.31,1765,132,1633,7.48,92.52
06037218300,06,037,218300,1400000US06037218300,Census Tract 2183,,1577,1468,1171,742,619,496,61,93.09,74.25,47.05,39.25,31.45,3.87,1577,246,496,15.6,31.45,4790,246,27,718,546,107,3146,5.14,0.56,14.99,11.4,2.23,65.68,1724,231,1493,13.4,86.6,1274,208,1066,16.33,83.67,160,0,160,0,100,228,40,188,17.54,82.46,0,0,0,,,955,363,592,38.01,61.99,449,149,300,33.18,66.82,1927,367,1560,19.05,80.95
06037218400,06,037,218400,1400000US06037218400,Census Tract 2184,,885,859,724,493,371,268,18,97.06,81.81,55.71,41.92,30.28,2.03,885,225,268,25.42,30.28,3996,366,0,108,337,349,2836,9.16,0,2.7,8.43,8.73,70.97,1118,67,1051,5.99,94.01,570,90,480,15.79,84.21,24,0,24,0,100,199,26,173,13.07,86.93,0,0,0,,,1341,146,1195,10.89,89.11,744,145,599,19.49,80.51,2462,282,2180,11.45,88.55
06037218500,06,037,218500,1400000US06037218500,Census Tract 2185,,753,685,533,433,252,189,32,90.97,70.78,57.5,33.47,25.1,4.25,753,244,189,32.4,25.1,2739,207,159,121,222,206,1824,7.56,5.81,4.42,8.11,7.52,66.59,706,73,633,10.34,89.66,619,273,346,44.1,55.9,43,43,0,100,0,69,0,69,0,100,0,0,0,,,676,55,621,8.14,91.86,626,43,583,6.87,93.13,1493,176,1317,11.79,88.21
06037218600,06,037,218600,1400000US06037218600,Census Tract 2186,,677,632,451,364,201,123,4,93.35,66.62,53.77,29.69,18.17,0.59,677,241,123,35.6,18.17,3077,202,0,143,210,339,2183,6.56,0,4.65,6.82,11.02,70.95,798,119,679,14.91,85.09,722,104,618,14.4,85.6,50,0,50,0,100,351,0,351,0,100,0,0,0,,,653,122,531,18.68,81.32,503,0,503,0,100,1345,241,1104,17.92,82.08
06037218701,06,037,218701,1400000US06037218701,Census Tract 2187.01,,472,403,363,322,256,167,48,85.38,76.91,68.22,54.24,35.38,10.17,472,155,167,32.84,35.38,1880,164,163,44,28,246,1235,8.72,8.67,2.34,1.49,13.09,65.69,429,86,343,20.05,79.95,579,61,518,10.54,89.46,19,0,19,0,100,87,20,67,22.99,77.01,0,0,0,,,353,123,230,34.84,65.16,413,81,332,19.61,80.39,1005,246,759,24.48,75.52
06037218702,06,037,218702,1400000US06037218702,Census Tract 2187.02,,624,551,416,332,132,86,62,88.3,66.67,53.21,21.15,13.78,9.94,624,246,86,39.42,13.78,2705,134,66,142,355,652,1356,4.95,2.44,5.25,13.12,24.1,50.13,540,36,504,6.67,93.33,582,74,508,12.71,87.29,66,0,66,0,100,137,9,128,6.57,93.43,0,0,0,,,899,200,699,22.25,77.75,481,23,458,4.78,95.22,1554,243,1311,15.64,84.36
06037218800,06,037,218800,1400000US06037218800,Census Tract 2188,,715,686,624,526,373,274,29,95.94,87.27,73.57,52.17,38.32,4.06,715,252,274,35.24,38.32,2690,319,145,177,318,253,1478,11.86,5.39,6.58,11.82,9.41,54.94,344,89,255,25.87,74.13,657,215,442,32.72,67.28,0,0,0,,,359,50,309,13.93,86.07,0,0,0,,,867,40,827,4.61,95.39,463,247,216,53.35,46.65,1356,159,1197,11.73,88.27
06037218900,06,037,218900,1400000US06037218900,Census Tract 2189,,1832,1611,1316,916,602,388,160,87.94,71.83,50,32.86,21.18,8.73,1832,528,388,28.82,21.18,5444,459,366,128,511,465,3515,8.43,6.72,2.35,9.39,8.54,64.57,1123,510,613,45.41,54.59,1910,339,1571,17.75,82.25,3,0,3,0,100,295,79,216,26.78,73.22,0,0,0,,,1255,25,1230,1.99,98.01,858,0,858,0,100,2661,360,2301,13.53,86.47
06037219010,06,037,219010,1400000US06037219010,Census Tract 2190.10,,495,473,395,305,215,134,22,95.56,79.8,61.62,43.43,27.07,4.44,495,171,134,34.55,27.07,3214,158,171,31,323,203,2328,4.92,5.32,0.96,10.05,6.32,72.43,803,78,725,9.71,90.29,839,70,769,8.34,91.66,5,0,5,0,100,26,0,26,0,100,0,0,0,,,829,84,745,10.13,89.87,712,128,584,17.98,82.02,1764,259,1505,14.68,85.32
06037219020,06,037,219020,1400000US06037219020,Census Tract 2190.20,,570,502,460,378,320,212,58,88.07,80.7,66.32,56.14,37.19,10.18,570,166,212,29.12,37.19,4263,398,513,338,368,307,2339,9.34,12.03,7.93,8.63,7.2,54.87,805,172,633,21.37,78.63,869,400,469,46.03,53.97,0,0,0,,,56,0,56,0,100,0,0,0,,,1476,270,1206,18.29,81.71,1057,407,650,38.51,61.49,2840,854,1986,30.07,69.93
06037219300,06,037,219300,1400000US06037219300,Census Tract 2193,,1012,1012,771,532,418,287,0,100,76.19,52.57,41.3,28.36,0,1012,245,287,24.21,28.36,3757,245,22,402,251,852,1985,6.52,0.59,10.7,6.68,22.68,52.83,1073,195,878,18.17,81.83,602,152,450,25.25,74.75,20,10,10,50,50,139,0,139,0,100,0,0,0,,,1042,194,848,18.62,81.38,881,118,763,13.39,86.61,2558,416,2142,16.26,83.74
06037219500,06,037,219500,1400000US06037219500,Census Tract 2195,,305,270,203,117,25,25,35,88.52,66.56,38.36,8.2,8.2,11.48,305,92,25,30.16,8.2,1965,101,10,20,240,48,1546,5.14,0.51,1.02,12.21,2.44,78.68,400,0,400,0,100,808,101,707,12.5,87.5,0,0,0,,,322,10,312,3.11,96.89,0,0,0,,,247,16,231,6.48,93.52,188,4,184,2.13,97.87,417,0,417,0,100
06037219700,06,037,219700,1400000US06037219700,Census Tract 2197,,725,709,576,383,309,115,9,97.79,79.45,52.83,42.62,15.86,1.24,725,268,115,36.97,15.86,4186,119,446,175,757,269,2420,2.84,10.65,4.18,18.08,6.43,57.81,1100,107,993,9.73,90.27,891,20,871,2.24,97.76,76,28,48,36.84,63.16,108,6,102,5.56,94.44,0,0,0,,,1146,217,929,18.94,81.06,865,362,503,41.85,58.15,2734,633,2101,23.15,76.85
06037219800,06,037,219800,1400000US06037219800,Census Tract 2198,,658,625,444,220,170,113,17,94.98,67.48,33.43,25.84,17.17,2.58,658,107,113,16.26,17.17,3027,116,119,86,111,536,2059,3.83,3.93,2.84,3.67,17.71,68.02,854,60,794,7.03,92.97,394,25,369,6.35,93.65,0,0,0,,,22,0,22,0,100,0,0,0,,,1152,87,1065,7.55,92.45,605,149,456,24.63,75.37,2330,279,2051,11.97,88.03
06037219901,06,037,219901,1400000US06037219901,Census Tract 2199.01,,1229,1143,883,728,396,160,59,93,71.85,59.24,32.22,13.02,4.8,1229,568,160,46.22,13.02,5206,174,146,332,1139,626,2789,3.34,2.8,6.38,21.88,12.02,53.57,952,192,760,20.17,79.83,715,92,623,12.87,87.13,0,0,0,,,88,1,87,1.14,98.86,0,0,0,,,2138,262,1876,12.25,87.75,1313,105,1208,8,92,3852,530,3322,13.76,86.24
06037219902,06,037,219902,1400000US06037219902,Census Tract 2199.02,,865,824,611,459,309,262,41,95.26,70.64,53.06,35.72,30.29,4.74,865,197,262,22.77,30.29,3509,233,87,250,429,118,2392,6.64,2.48,7.12,12.23,3.36,68.17,1274,107,1167,8.4,91.6,462,111,351,24.03,75.97,21,0,21,0,100,66,7,59,10.61,89.39,0,0,0,,,1269,345,924,27.19,72.81,417,0,417,0,100,2263,396,1867,17.5,82.5
06037220000,06,037,220000,1400000US06037220000,Census Tract 2200,,1488,1380,1161,998,731,693,61,92.74,78.02,67.07,49.13,46.57,4.1,1488,305,693,20.5,46.57,4487,383,588,165,234,547,2570,8.54,13.1,3.68,5.22,12.19,57.28,985,78,907,7.92,92.08,1879,648,1231,34.49,65.51,16,0,16,0,100,159,58,101,36.48,63.52,0,0,0,,,726,227,499,31.27,68.73,722,125,597,17.31,82.69,1772,265,1507,14.95,85.05
06037220100,06,037,220100,1400000US06037220100,Census Tract 2201,,557,462,303,234,184,154,95,82.94,54.4,42.01,33.03,27.65,17.06,557,80,154,14.36,27.65,2463,144,19,200,219,164,1717,5.85,0.77,8.12,8.89,6.66,69.71,492,20,472,4.07,95.93,1323,245,1078,18.52,81.48,0,0,0,,,171,62,109,36.26,63.74,0,0,0,,,154,0,154,0,100,323,36,287,11.15,88.85,728,70,658,9.62,90.38
06037221110,06,037,221110,1400000US06037221110,Census Tract 2211.10,,932,891,700,464,296,217,21,95.6,75.11,49.79,31.76,23.28,2.25,932,247,217,26.5,23.28,3037,205,140,247,615,481,1349,6.75,4.61,8.13,20.25,15.84,44.42,683,214,469,31.33,68.67,50,27,23,54,46,8,0,8,0,100,369,73,296,19.78,80.22,32,32,0,100,0,981,192,789,19.57,80.43,914,54,860,5.91,94.09,2450,388,2062,15.84,84.16
06037221120,06,037,221120,1400000US06037221120,Census Tract 2211.20,,682,659,578,414,311,229,14,96.63,84.75,60.7,45.6,33.58,2.05,682,185,229,27.13,33.58,2946,179,321,367,732,297,1050,6.08,10.9,12.46,24.85,10.08,35.64,344,196,148,56.98,43.02,29,25,4,86.21,13.79,15,0,15,0,100,171,8,163,4.68,95.32,0,0,0,,,1984,588,1396,29.64,70.36,403,50,353,12.41,87.59,2722,815,1907,29.94,70.06
06037221210,06,037,221210,1400000US06037221210,Census Tract 2212.10,,672,612,483,309,196,177,39,91.07,71.88,45.98,29.17,26.34,5.8,672,132,177,19.64,26.34,2933,189,122,99,696,300,1527,6.44,4.16,3.38,23.73,10.23,52.06,768,153,615,19.92,80.08,142,9,133,6.34,93.66,13,0,13,0,100,270,86,184,31.85,68.15,0,0,0,,,987,103,884,10.44,89.56,753,59,694,7.84,92.16,2205,239,1966,10.84,89.16
06037221220,06,037,221220,1400000US06037221220,Census Tract 2212.20,,746,675,597,435,302,211,17,90.48,80.03,58.31,40.48,28.28,2.28,746,224,211,30.03,28.28,2690,231,208,176,617,192,1266,8.59,7.73,6.54,22.94,7.14,47.06,456,39,417,8.55,91.45,44,18,26,40.91,59.09,48,48,0,100,0,153,15,138,9.8,90.2,17,0,17,0,100,1408,297,1111,21.09,78.91,564,198,366,35.11,64.89,2330,545,1785,23.39,76.61
06037221302,06,037,221302,1400000US06037221302,Census Tract 2213.02,,1037,990,903,712,443,374,32,95.47,87.08,68.66,42.72,36.07,3.09,1037,338,374,32.59,36.07,3231,418,136,444,277,550,1406,12.94,4.21,13.74,8.57,17.02,43.52,528,269,259,50.95,49.05,359,140,219,39,61,110,75,35,68.18,31.82,458,35,423,7.64,92.36,0,0,0,,,1350,391,959,28.96,71.04,426,88,338,20.66,79.34,2189,759,1430,34.67,65.33
06037221303,06,037,221303,1400000US06037221303,Census Tract 2213.03,,616,537,464,309,273,187,38,87.18,75.32,50.16,44.32,30.36,6.17,616,122,187,19.81,30.36,2480,229,268,333,185,584,881,9.23,10.81,13.43,7.46,23.55,35.52,459,133,326,28.98,71.02,183,61,122,33.33,66.67,65,5,60,7.69,92.31,167,50,117,29.94,70.06,0,0,0,,,1340,377,963,28.13,71.87,266,204,62,76.69,23.31,1965,708,1257,36.03,63.97
06037221304,06,037,221304,1400000US06037221304,Census Tract 2213.04,,1036,982,747,586,397,213,38,94.79,72.1,56.56,38.32,20.56,3.67,1036,373,213,36,20.56,3632,118,228,106,1052,517,1611,3.25,6.28,2.92,28.96,14.23,44.36,273,3,270,1.1,98.9,722,140,582,19.39,80.61,11,0,11,0,100,576,213,363,36.98,63.02,0,0,0,,,1584,87,1497,5.49,94.51,466,9,457,1.93,98.07,2230,81,2149,3.63,96.37
06037221401,06,037,221401,1400000US06037221401,Census Tract 2214.01,,1068,1031,944,727,462,409,21,96.54,88.39,68.07,43.26,38.3,1.97,1068,318,409,29.78,38.3,2633,197,146,107,342,348,1493,7.48,5.55,4.06,12.99,13.22,56.7,469,77,392,16.42,83.58,1192,207,985,17.37,82.63,15,8,7,53.33,46.67,169,54,115,31.95,68.05,0,0,0,,,267,17,250,6.37,93.63,521,87,434,16.7,83.3,860,78,782,9.07,90.93
06037221402,06,037,221402,1400000US06037221402,Census Tract 2214.02,,761,712,527,407,327,271,35,93.56,69.25,53.48,42.97,35.61,4.6,761,136,271,17.87,35.61,2782,176,129,310,267,344,1556,6.33,4.64,11.14,9.6,12.37,55.93,349,108,241,30.95,69.05,539,23,516,4.27,95.73,21,0,21,0,100,561,104,457,18.54,81.46,0,0,0,,,1144,338,806,29.55,70.45,168,42,126,25,75,1190,439,751,36.89,63.11
06037221500,06,037,221500,1400000US06037221500,Census Tract 2215,,919,846,783,512,421,370,37,92.06,85.2,55.71,45.81,40.26,4.03,919,142,370,15.45,40.26,3505,530,81,564,549,274,1507,15.12,2.31,16.09,15.66,7.82,43,1031,282,749,27.35,72.65,404,203,201,50.25,49.75,9,0,9,0,100,194,64,130,32.99,67.01,63,0,63,0,100,1567,615,952,39.25,60.75,237,11,226,4.64,95.36,2339,858,1481,36.68,63.32
06037221601,06,037,221601,1400000US06037221601,Census Tract 2216.01,,721,641,525,371,293,219,53,88.9,72.82,51.46,40.64,30.37,7.35,721,152,219,21.08,30.37,3264,582,81,132,511,252,1706,17.83,2.48,4.04,15.66,7.72,52.27,760,175,585,23.03,76.97,371,223,148,60.11,39.89,120,33,87,27.5,72.5,200,39,161,19.5,80.5,0,0,0,,,1106,186,920,16.82,83.18,707,139,568,19.66,80.34,2444,424,2020,17.35,82.65
06037221602,06,037,221602,1400000US06037221602,Census Tract 2216.02,,716,672,525,421,191,156,0,93.85,73.32,58.8,26.68,21.79,0,716,265,156,37.01,21.79,2203,178,54,174,508,258,1031,8.08,2.45,7.9,23.06,11.71,46.8,557,101,456,18.13,81.87,96,0,96,0,100,35,5,30,14.29,85.71,183,44,139,24.04,75.96,0,0,0,,,954,239,715,25.05,74.95,378,17,361,4.5,95.5,1838,326,1512,17.74,82.26
06037221710,06,037,221710,1400000US06037221710,Census Tract 2217.10,,767,711,615,459,327,247,32,92.7,80.18,59.84,42.63,32.2,4.17,767,212,247,27.64,32.2,2642,393,243,266,216,271,1253,14.88,9.2,10.07,8.18,10.26,47.43,767,150,617,19.56,80.44,69,29,40,42.03,57.97,13,0,13,0,100,348,203,145,58.33,41.67,0,0,0,,,986,290,696,29.41,70.59,459,230,229,50.11,49.89,1979,598,1381,30.22,69.78
06037221810,06,037,221810,1400000US06037221810,Census Tract 2218.10,,857,719,648,550,415,374,133,83.9,75.61,64.18,48.42,43.64,15.52,857,176,374,20.54,43.64,2416,770,104,119,548,216,659,31.87,4.3,4.93,22.68,8.94,27.28,363,213,150,58.68,41.32,52,34,18,65.38,34.62,0,0,0,,,638,303,335,47.49,52.51,127,114,13,89.76,10.24,675,204,471,30.22,69.78,561,125,436,22.28,77.72,1114,275,839,24.69,75.31
06037221820,06,037,221820,1400000US06037221820,Census Tract 2218.20,,889,730,692,606,512,377,156,82.11,77.84,68.17,57.59,42.41,17.55,889,229,377,25.76,42.41,2144,927,108,73,144,167,725,43.24,5.04,3.4,6.72,7.79,33.82,916,566,350,61.79,38.21,89,54,35,60.67,39.33,52,42,10,80.77,19.23,653,395,258,60.49,39.51,0,0,0,,,252,6,246,2.38,97.62,182,45,137,24.73,75.27,566,135,431,23.85,76.15
06037221900,06,037,221900,1400000US06037221900,Census Tract 2219,,893,821,666,642,421,294,62,91.94,74.58,71.89,47.14,32.92,6.94,893,348,294,38.97,32.92,2565,861,272,384,573,132,343,33.57,10.6,14.97,22.34,5.15,13.37,992,570,422,57.46,42.54,292,255,37,87.33,12.67,0,0,0,,,800,532,268,66.5,33.5,0,0,0,,,151,20,131,13.25,86.75,330,140,190,42.42,57.58,606,99,507,16.34,83.66
06037222001,06,037,222001,1400000US06037222001,Census Tract 2220.01,,476,424,326,238,161,116,40,89.08,68.49,50,33.82,24.37,8.4,476,122,116,25.63,24.37,2760,157,182,168,282,107,1864,5.69,6.59,6.09,10.22,3.88,67.54,764,244,520,31.94,68.06,511,76,435,14.87,85.13,36,14,22,38.89,61.11,149,1,148,0.67,99.33,0,0,0,,,819,165,654,20.15,79.85,481,7,474,1.46,98.54,1793,392,1401,21.86,78.14
06037222002,06,037,222002,1400000US06037222002,Census Tract 2220.02,,911,776,669,549,399,350,75,85.18,73.44,60.26,43.8,38.42,8.23,911,199,350,21.84,38.42,4705,685,150,54,316,542,2958,14.56,3.19,1.15,6.72,11.52,62.87,1253,322,931,25.7,74.3,931,316,615,33.94,66.06,0,0,0,,,92,0,92,0,100,0,0,0,,,2035,235,1800,11.55,88.45,394,16,378,4.06,95.94,3317,521,2796,15.71,84.29
